,Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HM,HW/M,HD/M,HL/M,HG/M,HGA/M,HPTS/M,HxG/M,HNPxG/M,HxGA/M,HNPxGA/M,HNPxGD/M,HPPDA,HOPPDA,HDC/M,HODC/M,HxPTS/M,AM,AW/M,AD/M,AL/M,AG/M,AGA/M,APTS/M,AxG/M,ANPxG/M,AxGA/M,ANPxGA/M,ANPxGD/M,APPDA,AOPPDA,ADC/M,AODC/M,AxPTS/M,Match_id
0,18/08/2017,Bayern Munich,Bayer Leverkusen,3-1,1.25,6.0,12.0,1.41,2.88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963e1b2-c3ef-558d-a908-77fe0bae1499
1,19/08/2017,Hamburger SV,Augsburg,1-0,2.1,3.4,3.6,2.18,1.68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5f317815-a723-52c3-a3a2-b1ee65cd876c
2,19/08/2017,Hertha Berlin,VfB Stuttgart,2-0,2.0,3.4,3.9,1.94,1.87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710b0662-d203-59a4-a605-3909d528b7d2
3,19/08/2017,Hoffenheim,Werder Bremen,1-0,1.75,4.0,4.33,1.52,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0445846b-8e3f-5678-863a-c1d27c28a03d
4,19/08/2017,Mainz 05,Hannover 96,0-1,2.0,3.4,4.0,2.06,1.76,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e8916d47-7bac-55a8-a80a-63960b8ccdfc
5,19/08/2017,Schalke 04,RasenBallsport Leipzig,2-0,2.8,3.4,2.5,1.88,1.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,da852826-0309-57c4-8273-10273f9801d2
6,19/08/2017,Wolfsburg,Borussia Dortmund,0-3,3.8,4.0,1.85,1.54,2.46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cf997137-838d-5004-900c-dd26d206abb6
7,20/08/2017,Freiburg,Eintracht Frankfurt,0-0,2.45,3.25,3.0,2.15,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4f4b04f6-35c9-503c-a86f-e91694ba4e81
8,20/08/2017,Borussia M.Gladbach,FC Cologne,1-0,1.91,3.5,4.1,1.91,1.91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a82fdf30-7b5a-50d3-98ef-d78417021071
9,25/08/2017,FC Cologne,Hamburger SV,1-3,1.95,3.4,4.0,2.06,1.76,1,0.0,0.0,1.0,0.0,1.0,0.0,0.84,0.84,1.63,1.63,-0.79,15.73,14.18,4.0,10.0,0.78,1,1.0,0.0,0.0,1.0,0.0,3.0,0.55,0.55,0.57,0.57,-0.02,10.68,4.58,4.0,11.0,1.25,4e136186-5c33-5183-9757-b0efe4354fe9
