Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
13/08/2021,Borussia M.Gladbach,Bayern Munich,1-1,4.33,4.5,1.66,1.4,3.0,Borussia M.Gladbach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bayern Munich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/2021,Augsburg,Hoffenheim,0-4,3.2,3.75,2.1,1.61,2.3,Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hoffenheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/2021,Arminia Bielefeld,Freiburg,0-0,2.8,3.4,2.5,2.05,1.88,Arminia Bielefeld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Freiburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/2021,VfB Stuttgart,Greuther Fuerth,5-1,1.83,4.0,4.0,1.61,2.3,VfB Stuttgart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Greuther Fuerth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/2021,Union Berlin,Bayer Leverkusen,1-1,2.75,3.4,2.55,1.9,1.9,Union Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bayer Leverkusen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/2021,Wolfsburg,Bochum,1-0,1.53,4.5,5.75,1.57,2.37,Wolfsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bochum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/2021,Borussia Dortmund,Eintracht Frankfurt,5-2,1.4,5.5,6.5,1.36,3.2,Borussia Dortmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eintracht Frankfurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/2021,Mainz 05,RasenBallsport Leipzig,1-0,8.0,5.5,1.33,1.53,2.5,Mainz 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RasenBallsport Leipzig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/2021,FC Cologne,Hertha Berlin,3-1,2.55,3.4,2.75,2.0,1.93,FC Cologne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hertha Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/08/2021,RasenBallsport Leipzig,VfB Stuttgart,4-0,1.36,5.25,7.0,1.53,2.5,RasenBallsport Leipzig,1,0,0,1,0,1,0,0.84,0.84,1.27,1.27,-0.43,4.61,16.72,6,2,0.85,VfB Stuttgart,1,1,0,0,5,1,3,4.26,4.26,1.31,1.31,2.95,10.74,25.31,14,3,2.77
