Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,18/08/2023 18:30,wohninvest WESERSTADION,Werder Bremen,Bayern Munich,0 - 4
2,1,19/08/2023 13:30,Mercedes-Benz Arena,VfB Stuttgart,Bochum,5 - 0
3,1,19/08/2023 13:30,WWK ARENA,Augsburg,Borussia M.Gladbach,4 - 4
4,1,19/08/2023 13:30,PreZero Arena,Hoffenheim,Freiburg,1 - 2
5,1,19/08/2023 13:30,Volkswagen Arena,Wolfsburg,FC Heidenheim,2 - 0
7,1,19/08/2023 13:30,BayArena,Bayer Leverkusen,RasenBallsport Leipzig,3 - 2
9,1,19/08/2023 16:30,SIGNAL IDUNA PARK,Borussia Dortmund,FC Cologne,1 - 0
8,1,20/08/2023 13:30,An der Alten Försterei,Union Berlin,Mainz 05,4 - 1
6,1,20/08/2023 15:30,Deutsche Bank Park,Eintracht Frankfurt,Darmstadt,1 - 0
17,2,25/08/2023 18:30,Red Bull Arena,RasenBallsport Leipzig,VfB Stuttgart,5 - 1
10,2,26/08/2023 13:30,Merck-Stadion am Böllenfalltor,Darmstadt,Union Berlin,1 - 4
11,2,26/08/2023 13:30,Voith-Arena,FC Heidenheim,Hoffenheim,2 - 3
12,2,26/08/2023 13:30,Vonovia Ruhrstadion,Bochum,Borussia Dortmund,1 - 1
13,2,26/08/2023 13:30,RheinEnergieSTADION,FC Cologne,Wolfsburg,1 - 2
16,2,26/08/2023 13:30,Europa-Park Stadion,Freiburg,Werder Bremen,1 - 0
14,2,26/08/2023 16:30,BORUSSIA-PARK,Borussia M.Gladbach,Bayer Leverkusen,0 - 3
15,2,27/08/2023 13:30,MEWA ARENA,Mainz 05,Eintracht Frankfurt,1 - 1
18,2,27/08/2023 15:30,Allianz Arena,Bayern Munich,Augsburg,3 - 1
27,3,01/09/2023 18:30,SIGNAL IDUNA PARK,Borussia Dortmund,FC Heidenheim,2 - 2
19,3,02/09/2023 13:30,Mercedes-Benz Arena,VfB Stuttgart,Freiburg,5 - 0
20,3,02/09/2023 13:30,WWK ARENA,Augsburg,Bochum,2 - 2
21,3,02/09/2023 13:30,wohninvest WESERSTADION,Werder Bremen,Mainz 05,4 - 0
22,3,02/09/2023 13:30,PreZero Arena,Hoffenheim,Wolfsburg,3 - 1
25,3,02/09/2023 13:30,BayArena,Bayer Leverkusen,Darmstadt,5 - 1
23,3,02/09/2023 16:30,BORUSSIA-PARK,Borussia M.Gladbach,Bayern Munich,1 - 2
24,3,03/09/2023 13:30,Deutsche Bank Park,Eintracht Frankfurt,FC Cologne,1 - 1
26,3,03/09/2023 15:30,An der Alten Försterei,Union Berlin,RasenBallsport Leipzig,0 - 3
36,4,15/09/2023 18:30,Allianz Arena,Bayern Munich,Bayer Leverkusen,2 - 2
31,4,16/09/2023 13:30,RheinEnergieSTADION,FC Cologne,Hoffenheim,1 - 3
32,4,16/09/2023 13:30,MEWA ARENA,Mainz 05,VfB Stuttgart,1 - 3
33,4,16/09/2023 13:30,Volkswagen Arena,Wolfsburg,Union Berlin,2 - 1
34,4,16/09/2023 13:30,Europa-Park Stadion,Freiburg,Borussia Dortmund,2 - 4
35,4,16/09/2023 13:30,Red Bull Arena,RasenBallsport Leipzig,Augsburg,3 - 0
30,4,16/09/2023 16:30,Vonovia Ruhrstadion,Bochum,Eintracht Frankfurt,1 - 1
29,4,17/09/2023 13:30,Voith-Arena,FC Heidenheim,Werder Bremen,4 - 2
28,4,17/09/2023 15:30,Merck-Stadion am Böllenfalltor,Darmstadt,Borussia M.Gladbach,3 - 3
37,5,22/09/2023 18:30,Mercedes-Benz Arena,VfB Stuttgart,Darmstadt,3 - 1
38,5,23/09/2023 13:30,WWK ARENA,Augsburg,Mainz 05,2 - 1
40,5,23/09/2023 13:30,BORUSSIA-PARK,Borussia M.Gladbach,RasenBallsport Leipzig,0 - 1
