Date,HomeTeam,AwayTeam,HomeWinOdds,DrawOdds,AwayWinOdds,Line,OverLineOdds,UnderLineOdds,Yes,No
24/11/2023,FC Cologne,Bayern Munich,10.0,6.4,1.26,3.5,1.75,2.07,1.62,2.2
25/11/2023,Werder Bremen,Bayer Leverkusen,6.0,4.9,1.47,3.5,2.02,1.8,1.55,2.37
25/11/2023,Wolfsburg,RasenBallsport Leipzig,3.8,3.9,1.88,3.5,2.35,1.6,1.52,2.45
25/11/2023,Freiburg,Darmstadt,1.62,4.2,5.2,2.5,1.7,2.18,1.72,2.05
25/11/2023,Borussia Dortmund,Borussia M.Gladbach,1.47,5.2,5.6,3.5,1.9,1.91,1.5,2.47
25/11/2023,Eintracht Frankfurt,VfB Stuttgart,2.62,3.6,2.57,2.5,1.72,2.15,1.57,2.3
26/11/2023,Hoffenheim,Mainz 05,2.02,3.8,3.45,2.5,1.6,2.37,1.52,2.42
01/12/2023,Darmstadt,FC Cologne,2.75,3.55,2.47,2.5,1.7,2.18,1.55,2.35
02/12/2023,Borussia M.Gladbach,Hoffenheim,2.25,3.7,3.0,3.5,2.35,1.6,1.47,2.55
02/12/2023,RasenBallsport Leipzig,FC Heidenheim,1.32,5.5,9.25,3.5,2.1,1.75,1.75,2.02
02/12/2023,Bayern Munich,Union Berlin,1.19,7.7,12.5,3.5,1.65,2.25,1.72,2.05
02/12/2023,VfB Stuttgart,Werder Bremen,1.5,4.55,6.2,3.5,2.37,1.6,1.7,2.07
03/12/2023,Mainz 05,Freiburg,2.45,3.6,2.75,2.5,1.72,2.12,1.6,2.27
03/12/2023,Bayer Leverkusen,Borussia Dortmund,1.78,4.0,4.2,3.5,2.1,1.75,1.44,2.67
