Date,HomeTeam,AwayTeam,HomeWinOdds,DrawOdds,AwayWinOdds,Line,OverLineOdds,UnderLineOdds,Yes,No,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
24/11/2023,FC Cologne,Bayern Munich,10.0,6.4,1.26,3.5,1.75,2.07,1.62,2.2,FC Cologne,11,1,3,7,9,23,6,15.85,13.58,26.61,25.85,-12.27,13.99,11.37,63,100,10.39,Bayern Munich,11,9,2,0,42,9,29,34.0,31.73,9.4,8.64,23.09,11.05,16.38,162,62,27.58
25/11/2023,Werder Bremen,Bayer Leverkusen,6.0,4.9,1.47,3.5,2.02,1.8,1.55,2.37,Werder Bremen,11,3,2,6,18,22,11,15.66,13.26,20.04,18.52,-5.26,12.34,12.76,85,94,12.35,Bayer Leverkusen,11,10,1,0,34,10,31,27.76,26.24,12.92,12.92,13.33,13.84,21.99,148,51,23.28
25/11/2023,Wolfsburg,RasenBallsport Leipzig,3.8,3.9,1.88,3.5,2.35,1.6,1.52,2.45,Wolfsburg,11,4,1,6,15,20,13,16.55,14.9,18.83,18.07,-3.17,13.52,14.24,77,73,13.65,RasenBallsport Leipzig,11,7,2,2,28,10,23,19.53,16.5,12.81,11.29,5.21,12.23,15.88,60,38,19.13
25/11/2023,Freiburg,Darmstadt,1.62,4.2,5.2,2.5,1.7,2.18,1.72,2.05,Freiburg,11,4,2,5,14,22,14,16.71,14.43,18.78,17.26,-2.83,17.32,13.55,49,105,14.09,Darmstadt,11,2,2,7,14,32,8,13.92,11.65,25.48,24.72,-13.08,13.03,11.0,52,95,10.5
25/11/2023,Borussia Dortmund,Borussia M.Gladbach,1.47,5.2,5.6,3.5,1.9,1.91,1.5,2.47,Borussia Dortmund,11,6,3,2,21,17,21,22.03,21.27,20.73,16.04,5.23,12.0,14.6,85,79,16.85,Borussia M.Gladbach,11,3,4,4,23,23,13,19.44,17.16,20.4,17.36,-0.2,16.83,11.88,67,102,14.88
25/11/2023,Eintracht Frankfurt,VfB Stuttgart,2.62,3.6,2.57,2.5,1.72,2.15,1.57,2.3,Eintracht Frankfurt,11,4,6,1,17,11,18,17.5,15.98,15.73,12.55,3.43,13.57,13.15,88,78,16.81,VfB Stuttgart,11,8,0,3,29,14,24,29.24,25.31,11.44,10.68,14.63,12.59,16.51,107,43,25.71
26/11/2023,Hoffenheim,Mainz 05,2.02,3.8,3.45,2.5,1.6,2.37,1.52,2.42,Hoffenheim,11,6,1,4,23,20,19,17.87,14.83,20.21,18.69,-3.86,13.71,13.85,61,92,13.97,Mainz 05,11,1,4,6,11,24,7,11.42,9.9,18.0,16.48,-6.58,11.64,10.57,68,74,10.75
01/12/2023,Darmstadt,FC Cologne,2.75,3.55,2.47,2.5,1.7,2.18,1.55,2.35,Darmstadt,11,2,2,7,14,32,8,13.92,11.65,25.48,24.72,-13.08,13.03,11.0,52,95,10.5,FC Cologne,11,1,3,7,9,23,6,15.85,13.58,26.61,25.85,-12.27,13.99,11.37,63,100,10.39
02/12/2023,Borussia M.Gladbach,Hoffenheim,2.25,3.7,3.0,3.5,2.35,1.6,1.47,2.55,Borussia M.Gladbach,11,3,4,4,23,23,13,19.44,17.16,20.4,17.36,-0.2,16.83,11.88,67,102,14.88,Hoffenheim,11,6,1,4,23,20,19,17.87,14.83,20.21,18.69,-3.86,13.71,13.85,61,92,13.97
02/12/2023,RasenBallsport Leipzig,FC Heidenheim,1.32,5.5,9.25,3.5,2.1,1.75,1.75,2.02,RasenBallsport Leipzig,11,7,2,2,28,10,23,19.53,16.5,12.81,11.29,5.21,12.23,15.88,60,38,19.13,FC Heidenheim,11,3,1,7,17,26,10,14.01,11.74,28.24,22.81,-11.07,16.61,11.57,49,110,6.5
02/12/2023,Bayern Munich,Union Berlin,1.19,7.7,12.5,3.5,1.65,2.25,1.72,2.05,Bayern Munich,11,9,2,0,42,9,29,34.0,31.73,9.4,8.64,23.09,11.05,16.38,162,62,27.58,Union Berlin,11,2,0,9,11,26,6,12.84,12.09,18.54,16.27,-4.18,15.4,12.28,46,51,11.28
02/12/2023,VfB Stuttgart,Werder Bremen,1.5,4.55,6.2,3.5,2.37,1.6,1.7,2.07,VfB Stuttgart,11,8,0,3,29,14,24,29.24,25.31,11.44,10.68,14.63,12.59,16.51,107,43,25.71,Werder Bremen,11,3,2,6,18,22,11,15.66,13.26,20.04,18.52,-5.26,12.34,12.76,85,94,12.35
03/12/2023,Mainz 05,Freiburg,2.45,3.6,2.75,2.5,1.72,2.12,1.6,2.27,Mainz 05,11,1,4,6,11,24,7,11.42,9.9,18.0,16.48,-6.58,11.64,10.57,68,74,10.75,Freiburg,11,4,2,5,14,22,14,16.71,14.43,18.78,17.26,-2.83,17.32,13.55,49,105,14.09
03/12/2023,Bayer Leverkusen,Borussia Dortmund,1.78,4.0,4.2,3.5,2.1,1.75,1.44,2.67,Bayer Leverkusen,11,10,1,0,34,10,31,27.76,26.24,12.92,12.92,13.33,13.84,21.99,148,51,23.28,Borussia Dortmund,11,6,3,2,21,17,21,22.03,21.27,20.73,16.04,5.23,12.0,14.6,85,79,16.85
