Date,HomeTeam,AwayTeam,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
02/12/2023,Arsenal,Wolverhampton Wanderers,Arsenal,10,7,2,1,22,7,23,18.6,15.56,9.82,9.06,6.5,9.9,16.02,88,55,17.94,Wolverhampton Wanderers,9,3,3,3,14,15,12,11.1,11.1,15.07,12.78,-1.68,11.5,9.39,55,82,9.94
02/12/2023,Brentford,Luton,Brentford,10,3,2,5,13,15,11,18.64,18.64,15.77,15.01,3.63,10.43,11.27,80,82,15.2,Luton,11,2,3,6,11,16,9,14.3,13.54,24.67,24.67,-11.12,16.6,7.22,56,100,9.8
02/12/2023,Burnley,Sheffield United,Burnley,12,1,1,10,10,29,4,11.58,10.82,23.07,21.55,-10.72,12.08,13.59,57,105,9.64,Sheffield United,11,1,2,8,10,31,5,9.07,7.55,29.19,27.67,-20.12,14.99,9.73,53,113,5.49
02/12/2023,Nottingham Forest,Everton,Nottingham Forest,10,2,4,4,11,15,10,12.76,12.0,15.99,15.22,-3.22,19.55,12.44,58,96,11.25,Everton,10,4,2,4,14,14,14,18.09,18.09,13.76,11.47,6.62,14.83,9.67,61,80,16.31
02/12/2023,Newcastle United,Manchester United,Newcastle United,11,6,2,3,26,12,20,23.83,21.55,11.36,11.36,10.19,9.78,12.51,70,61,22.72,Manchester United,10,6,0,4,12,12,18,13.06,12.3,17.04,15.52,-3.22,13.29,15.28,85,71,11.83
03/12/2023,Bournemouth,Aston Villa,Bournemouth,10,3,2,5,12,22,11,15.34,15.34,20.58,19.06,-3.72,13.08,8.59,77,110,11.15,Aston Villa,11,8,1,2,26,13,25,22.63,21.11,13.75,13.75,7.36,15.16,10.72,116,77,21.14
03/12/2023,Chelsea,Brighton,Chelsea,10,3,3,4,17,16,12,20.77,17.73,15.3,14.54,3.19,9.67,13.92,103,66,17.29,Brighton,10,4,4,2,19,18,16,14.4,13.64,12.84,11.31,2.32,10.27,15.03,72,87,14.86
03/12/2023,Liverpool,Fulham,Liverpool,11,7,3,1,24,9,24,24.55,22.26,14.06,14.06,8.21,9.01,18.02,123,68,21.37,Fulham,9,2,2,5,7,15,8,10.05,10.05,12.58,11.82,-1.77,12.54,12.92,57,58,10.38
03/12/2023,West Ham,Crystal Palace,West Ham,10,4,1,5,16,20,13,14.26,14.26,20.97,18.69,-4.44,16.62,12.48,48,76,10.13,Crystal Palace,10,3,2,5,11,16,11,12.8,12.04,15.78,15.02,-2.98,12.94,8.63,55,101,11.9
03/12/2023,Manchester City,Tottenham,Manchester City,11,7,2,2,29,13,23,26.08,23.03,11.47,10.71,12.32,12.08,20.59,147,49,23.17,Tottenham,10,6,1,3,19,15,19,17.58,17.58,16.44,14.92,2.66,8.05,11.62,131,55,15.6
