Date,HomeTeam,AwayTeam,HomeWinOdds,DrawOdds,AwayWinOdds,Line,OverLineOdds,UnderLineOdds,Yes,No
12/11/2023,Mallorca,Cadiz,1.91,3.3,4.5,2.5,2.5,1.53,2.2,1.62
24/11/2023,Alaves,Granada,1.85,3.6,4.3,2.5,2.05,1.78,1.88,1.85
25/11/2023,Rayo Vallecano,Barcelona,5.1,4.0,1.65,2.5,1.75,2.1,1.72,2.05
25/11/2023,Valencia,Celta Vigo,2.15,3.35,3.5,2.5,2.12,1.72,1.85,1.88
25/11/2023,Getafe,Almeria,1.75,3.65,4.9,2.5,2.05,1.78,1.95,1.8
25/11/2023,Atletico Madrid,Mallorca,1.39,4.65,8.75,2.5,1.93,1.88,2.25,1.6
26/11/2023,Villarreal,Osasuna,2.3,3.45,3.1,2.5,1.93,1.88,1.72,2.05
26/11/2023,Real Sociedad,Sevilla,1.8,3.55,4.75,2.5,2.15,1.7,2.0,1.75
26/11/2023,Cadiz,Real Madrid,6.9,4.8,1.44,2.5,1.65,2.25,1.87,1.88
26/11/2023,Real Betis,Las Palmas,1.7,3.8,5.0,2.5,2.05,1.78,2.0,1.75
03/12/2023,Almeria,Real Betis,3.25,3.4,2.22,2.5,1.93,1.88,1.7,2.07
03/12/2023,Girona,Valencia,1.83,3.6,4.45,2.5,1.93,1.87,1.8,1.93
03/12/2023,Osasuna,Real Sociedad,3.15,3.1,2.42,2.5,2.52,1.53,2.07,1.7
03/12/2023,Sevilla,Villarreal,2.05,3.6,3.55,2.5,1.83,1.98,1.7,2.07
03/12/2023,Barcelona,Atletico Madrid,2.0,3.75,3.55,2.5,1.72,2.12,1.62,2.22
03/12/2023,Celta Vigo,Cadiz,1.85,3.7,4.15,2.5,1.98,1.83,1.87,1.88
03/12/2023,Las Palmas,Getafe,2.5,3.1,3.1,1.5,1.57,2.45,2.15,1.65
03/12/2023,Real Madrid,Granada,1.18,6.9,17.5,3.5,2.02,1.8,2.02,1.75
03/12/2023,Mallorca,Alaves,2.1,3.3,3.75,2.5,2.47,1.55,2.15,1.65
