Date,HomeTeam,AwayTeam,HomeWinOdds,DrawOdds,AwayWinOdds,Line,OverLineOdds,UnderLineOdds,Yes,No,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
12/11/2023,Mallorca,Cadiz,1.91,3.3,4.5,2.5,2.5,1.53,2.2,1.62,Mallorca,12,1,6,5,12,18,9,14.82,12.45,20.78,17.81,-5.36,10.66,8.88,44,91,12.99,Cadiz,12,2,4,6,10,17,10,10.77,10.02,19.98,19.98,-9.96,9.95,7.36,41,81,12.73
03/12/2023,Celta Vigo,Cadiz,1.85,3.7,4.15,2.5,1.98,1.83,1.87,1.88,Celta Vigo,13,1,4,8,14,24,7,21.23,19.74,23.19,20.22,-0.48,16.15,9.51,83,77,16.82,Cadiz,12,2,4,6,10,17,10,10.77,10.02,19.98,19.98,-9.96,9.95,7.36,41,81,12.73
03/12/2023,Mallorca,Alaves,2.1,3.3,3.75,2.5,2.47,1.55,2.15,1.65,Mallorca,12,1,6,5,12,18,9,14.82,12.45,20.78,17.81,-5.36,10.66,8.88,44,91,12.99,Alaves,13,3,3,7,11,18,12,20.18,18.69,18.59,15.62,3.08,12.03,8.43,72,72,19.44
24/11/2023,Alaves,Granada,1.85,3.6,4.3,2.5,2.05,1.78,1.88,1.85,Alaves,13,3,3,7,11,18,12,20.18,18.69,18.59,15.62,3.08,12.03,8.43,72,72,19.44,Granada,13,1,4,8,18,30,7,17.38,15.13,26.53,23.56,-8.42,11.5,8.26,58,89,11.38
03/12/2023,Real Madrid,Granada,1.18,6.9,17.5,3.5,2.02,1.8,2.02,1.75,Real Madrid,13,10,2,1,28,9,32,28.77,27.21,16.85,16.85,10.36,11.65,15.55,138,49,24.53,Granada,13,1,4,8,18,30,7,17.38,15.13,26.53,23.56,-8.42,11.5,8.26,58,89,11.38
25/11/2023,Rayo Vallecano,Barcelona,5.1,4.0,1.65,2.5,1.75,2.1,1.72,2.05,Rayo Vallecano,13,4,6,3,15,17,18,17.59,13.88,19.5,18.02,-4.14,9.47,7.33,69,115,17.55,Barcelona,13,9,3,1,26,13,30,27.44,25.95,14.12,14.12,11.83,7.57,14.83,124,84,26.97
25/11/2023,Valencia,Celta Vigo,2.15,3.35,3.5,2.5,2.12,1.72,1.85,1.88,Valencia,13,5,3,5,16,18,18,16.83,15.35,16.03,14.55,0.8,11.02,9.97,45,57,19.09,Celta Vigo,13,1,4,8,14,24,7,21.23,19.74,23.19,20.22,-0.48,16.15,9.51,83,77,16.82
25/11/2023,Getafe,Almeria,1.75,3.65,4.9,2.5,2.05,1.78,1.95,1.8,Getafe,13,3,7,3,15,17,16,16.21,14.73,18.64,16.41,-1.69,10.35,6.99,48,81,16.36,Almeria,13,0,3,10,15,35,3,16.99,16.24,28.75,24.27,-8.03,11.12,9.38,42,104,10.49
25/11/2023,Atletico Madrid,Mallorca,1.39,4.65,8.75,2.5,1.93,1.88,2.25,1.6,Atletico Madrid,12,9,1,2,29,12,28,26.08,24.6,11.11,11.11,13.48,14.52,14.52,112,62,25.58,Mallorca,12,1,6,5,12,18,9,14.82,12.45,20.78,17.81,-5.36,10.66,8.88,44,91,12.99
26/11/2023,Villarreal,Osasuna,2.3,3.45,3.1,2.5,1.93,1.88,1.72,2.05,Villarreal,13,3,3,7,18,24,12,17.13,14.9,24.07,22.58,-7.68,9.26,9.99,89,115,13.6,Osasuna,13,4,2,7,15,21,14,15.49,13.26,20.33,18.77,-5.51,10.86,11.28,72,70,16.07
