Date,HomeTeam,AwayTeam,HomeWinOdds,DrawOdds,AwayWinOdds,Line,OverLineOdds,UnderLineOdds,Yes,No,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
12/11/2023,Mallorca,Cadiz,1.91,3.3,4.5,2.5,2.5,1.53,2.2,1.62,Mallorca,11,1,5,5,11,17,8,13.33,11.84,19.91,17.68,-5.84,10.89,9.07,40,89,11.06,Cadiz,11,1,4,6,9,17,7,9.94,9.2,19.76,19.76,-10.55,10.11,7.44,39,77,10.83
03/12/2023,Celta Vigo,Cadiz,1.85,3.7,4.15,2.5,1.98,1.83,1.87,1.88,Celta Vigo,12,1,4,7,14,22,7,20.44,18.96,22.23,19.26,-0.3,16.09,9.64,75,77,15.7,Cadiz,11,1,4,6,9,17,7,9.94,9.2,19.76,19.76,-10.55,10.11,7.44,39,77,10.83
03/12/2023,Mallorca,Alaves,2.1,3.3,3.75,2.5,2.47,1.55,2.15,1.65,Mallorca,11,1,5,5,11,17,8,13.33,11.84,19.91,17.68,-5.84,10.89,9.07,40,89,11.06,Alaves,12,3,3,6,11,17,12,19.95,18.47,17.77,14.79,3.67,12.54,8.48,68,70,18.75
24/11/2023,Alaves,Granada,1.85,3.6,4.3,2.5,2.05,1.78,1.88,1.85,Alaves,12,3,3,6,11,17,12,19.95,18.47,17.77,14.79,3.67,12.54,8.48,68,70,18.75,Granada,12,1,4,7,17,27,7,16.25,14.0,23.52,20.54,-6.55,11.32,7.69,55,76,11.09
03/12/2023,Real Madrid,Granada,1.18,6.9,17.5,3.5,2.02,1.8,2.02,1.75,Real Madrid,12,9,2,1,26,9,29,27.44,25.88,16.15,16.15,9.72,11.83,15.73,127,47,22.66,Granada,12,1,4,7,17,27,7,16.25,14.0,23.52,20.54,-6.55,11.32,7.69,55,76,11.09
25/11/2023,Rayo Vallecano,Barcelona,5.1,4.0,1.65,2.5,1.75,2.1,1.72,2.05,Rayo Vallecano,12,3,6,3,13,17,15,15.5,13.27,18.38,16.9,-3.63,9.54,7.33,63,106,15.37,Barcelona,12,9,2,1,26,13,29,25.76,24.28,13.32,13.32,10.96,7.65,14.48,113,77,24.91
25/11/2023,Valencia,Celta Vigo,2.15,3.35,3.5,2.5,2.12,1.72,1.85,1.88,Valencia,12,4,3,5,14,17,15,15.76,14.28,15.32,13.83,0.44,11.27,10.39,39,54,17.45,Celta Vigo,12,1,4,7,14,22,7,20.44,18.96,22.23,19.26,-0.3,16.09,9.64,75,77,15.7
25/11/2023,Getafe,Almeria,1.75,3.65,4.9,2.5,2.05,1.78,1.95,1.8,Getafe,12,3,6,3,15,17,15,15.41,13.92,16.97,14.74,-0.81,9.7,7.03,41,70,15.67,Almeria,12,0,3,9,15,33,3,15.87,15.12,26.66,23.66,-8.54,11.44,9.44,33,98,9.88
25/11/2023,Atletico Madrid,Mallorca,1.39,4.65,8.75,2.5,1.93,1.88,2.25,1.6,Atletico Madrid,11,8,1,2,26,11,25,23.07,21.58,9.98,9.98,11.61,14.31,14.52,99,59,22.99,Mallorca,11,1,5,5,11,17,8,13.33,11.84,19.91,17.68,-5.84,10.89,9.07,40,89,11.06
26/11/2023,Villarreal,Osasuna,2.3,3.45,3.1,2.5,1.93,1.88,1.72,2.05,Villarreal,12,3,3,6,17,22,12,16.39,14.16,23.1,21.61,-7.45,9.58,9.93,75,108,12.48,Osasuna,12,3,2,7,13,21,11,14.53,12.3,19.55,17.99,-5.69,11.14,10.94,72,62,14.53
