,Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HM,HW/M,HD/M,HL/M,HG/M,HGA/M,HPTS/M,HxG/M,HNPxG/M,HxGA/M,HNPxGA/M,HNPxGD/M,HPPDA,HOPPDA,HDC/M,HODC/M,HxPTS/M,AM,AW/M,AD/M,AL/M,AG/M,AGA/M,APTS/M,AxG/M,ANPxG/M,AxGA/M,ANPxGA/M,ANPxGD/M,APPDA,AOPPDA,ADC/M,AODC/M,AxPTS/M,Match_id
0,04/08/2017,Monaco,Toulouse,3-2,1.3,5.5,10.0,1.63,2.29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2221f3fe-efbd-5722-ba27-a2d9ee63b204
1,05/08/2017,Lyon,Strasbourg,4-0,1.36,5.0,8.5,1.54,2.43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86c90f16-7471-5d1a-8fea-d47804f640dd
2,05/08/2017,Metz,Guingamp,1-3,2.8,3.2,2.63,2.14,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12fda9a9-773e-5726-9ebc-eb3b69655256
3,05/08/2017,Montpellier,Caen,1-0,1.91,3.5,4.2,2.07,1.74,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fd6d705c-3162-53be-8eab-fb791c9ebfa2
4,05/08/2017,Paris Saint Germain,Amiens,2-0,1.11,9.0,25.0,1.35,3.11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0be6cc56-8ede-5973-8771-7901ff3803bf
5,05/08/2017,Saint-Etienne,Nice,1-0,2.2,3.2,3.5,2.31,1.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15412874-cc24-5754-a40c-aae2bd08dc5b
6,05/08/2017,Troyes,Rennes,1-1,2.6,3.1,2.9,2.3,1.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0ae302fe-8bc5-54cf-b851-c1b5c6dadb0c
7,06/08/2017,Angers,Bordeaux,2-2,2.5,3.1,3.1,2.42,1.54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d32afb2d-68f1-5874-8fac-fdeef058a80f
8,06/08/2017,Lille,Nantes,3-0,2.0,3.2,4.1,2.36,1.57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d2caf1c8-cb2d-5cda-b15f-2d378d606a45
9,06/08/2017,Marseille,Dijon,3-0,1.4,4.75,8.0,1.65,2.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c691f413-2300-53ae-9346-ed64a9edb20f
10,11/08/2017,Nice,Troyes,1-2,1.53,4.0,7.0,1.84,1.97,1,0.0,0.0,1.0,0.0,1.0,0.0,0.59,0.59,0.94,0.94,-0.35,9.43,14.39,4.0,6.0,0.91,1,0.0,1.0,0.0,1.0,1.0,1.0,1.34,1.34,1.87,1.87,-0.53,14.52,5.52,3.0,8.0,0.98,caa2dd3a-7d95-5e7d-8071-2de05565d74b
