Match Number,Round Number,Date,Location,Home Team,Away Team,Result
6,1,11/08/2023 21:00,Stade de Nice,Nice,Lille,1 - 1
3,1,12/08/2023 17:00,Stade Vélodrome,Marseille,Reims,2 - 1
7,1,12/08/2023 21:00,Parc des Princes,Paris Saint Germain,Lorient,0 - 0
1,1,13/08/2023 13:00,Stade Francis-Le Blé,Brest,Lens,3 - 2
2,1,13/08/2023 15:00,Stade Gabriel Montpied,Clermont Foot,Monaco,2 - 4
4,1,13/08/2023 15:00,Stade de la Mosson,Montpellier,Le Havre,2 - 2
5,1,13/08/2023 15:00,Stade de la Beaujoire,Nantes,Toulouse,1 - 2
8,1,13/08/2023 17:05,Roazhon Park,Rennes,Metz,5 - 1
9,1,13/08/2023 20:45,Stade de la Meinau,Strasbourg,Lyon,2 - 1
15,2,18/08/2023 21:00,Stade Saint-Symphorien,Metz,Marseille,2 - 2
14,2,19/08/2023 19:00,Parc Olympique Lyonnais,Lyon,Montpellier,1 - 4
18,2,19/08/2023 21:00,Stadium de Toulouse,Toulouse,Paris Saint Germain,1 - 1
12,2,20/08/2023 13:00,Stade Pierre-Mauroy,Lille,Nantes,2 - 0
10,2,20/08/2023 15:00,Stade Océane,Le Havre,Brest,1 - 2
13,2,20/08/2023 15:00,Stade du Moustoir,Lorient,Nice,1 - 1
17,2,20/08/2023 15:00,Stade Auguste Delaune,Reims,Clermont Foot,2 - 0
16,2,20/08/2023 19:00,Stade Louis II,Monaco,Strasbourg,3 - 0
11,2,20/08/2023 20:45,Stade Bollaert-Delelis,Lens,Rennes,1 - 1
23,3,25/08/2023 21:00,Stade de la Beaujoire,Nantes,Monaco,3 - 3
21,3,26/08/2023 17:00,Stade Vélodrome,Marseille,Brest,2 - 0
25,3,26/08/2023 21:00,Parc des Princes,Paris Saint Germain,Lens,3 - 1
26,3,27/08/2023 13:00,Roazhon Park,Rennes,Le Havre,2 - 2
19,3,27/08/2023 15:00,Stade Gabriel Montpied,Clermont Foot,Metz,0 - 1
22,3,27/08/2023 15:00,Stade de la Mosson,Montpellier,Reims,1 - 3
27,3,27/08/2023 15:00,Stade de la Meinau,Strasbourg,Toulouse,2 - 0
20,3,27/08/2023 17:05,Stade du Moustoir,Lorient,Lille,4 - 1
24,3,27/08/2023 20:45,Stade de Nice,Nice,Lyon,0 - 0
33,4,01/09/2023 21:00,Stade de la Beaujoire,Nantes,Marseille,1 - 1
28,4,02/09/2023 17:00,Stade Francis-Le Blé,Brest,Rennes,0 - 0
32,4,02/09/2023 21:00,Stade Louis II,Monaco,Lens,3 - 0
35,4,03/09/2023 13:00,Stadium de Toulouse,Toulouse,Clermont Foot,2 - 2
29,4,03/09/2023 15:00,Stade Océane,Le Havre,Lorient,3 - 0
30,4,03/09/2023 15:00,Stade Pierre-Mauroy,Lille,Montpellier,1 - 0
31,4,03/09/2023 15:00,Stade Saint-Symphorien,Metz,Reims,2 - 2
34,4,03/09/2023 17:05,Stade de Nice,Nice,Strasbourg,2 - 0
36,4,03/09/2023 20:45,Parc Olympique Lyonnais,Lyon,Paris Saint Germain,1 - 4
42,5,15/09/2023 21:00,Parc des Princes,Paris Saint Germain,Nice,2 - 3
44,5,16/09/2023 17:00,Roazhon Park,Rennes,Lille,2 - 2
38,5,16/09/2023 21:00,Stade Bollaert-Delelis,Lens,Metz,0 - 1
39,5,17/09/2023 13:00,Stade du Moustoir,Lorient,Monaco,2 - 2
37,5,17/09/2023 15:00,Stade Gabriel Montpied,Clermont Foot,Nantes,0 - 1
43,5,17/09/2023 15:00,Stade Auguste Delaune,Reims,Brest,1 - 2
45,5,17/09/2023 15:00,Stade de la Meinau,Strasbourg,Montpellier,2 - 2
41,5,17/09/2023 17:05,Stade Vélodrome,Marseille,Toulouse,0 - 0
40,5,17/09/2023 20:45,Parc Olympique Lyonnais,Lyon,Le Havre,0 - 0
51,6,22/09/2023 21:00,Stade Louis II,Monaco,Nice,0 - 1
53,6,23/09/2023 17:00,Stade de la Beaujoire,Nantes,Lorient,5 - 3
46,6,23/09/2023 21:00,Stade Francis-Le Blé,Brest,Lyon,1 - 0
50,6,24/09/2023 13:00,Stade Saint-Symphorien,Metz,Strasbourg,0 - 1
47,6,24/09/2023 15:00,Stade Océane,Le Havre,Clermont Foot,2 - 1
48,6,24/09/2023 15:00,Stade Bollaert-Delelis,Lens,Toulouse,2 - 1
52,6,24/09/2023 17:05,Stade de la Mosson,Montpellier,Rennes,0 - 0
54,6,24/09/2023 20:45,Parc des Princes,Paris Saint Germain,Marseille,4 - 0
49,6,26/09/2023 21:00,Stade Pierre-Mauroy,Lille,Reims,1 - 2
62,7,29/09/2023 21:00,Stade de la Meinau,Strasbourg,Lens,0 - 1
55,7,30/09/2023 17:00,Stade Gabriel Montpied,Clermont Foot,Paris Saint Germain,0 - 0
58,7,30/09/2023 21:00,Stade Louis II,Monaco,Marseille,3 - 2
60,7,01/10/2023 13:00,Stade Auguste Delaune,Reims,Lyon,2 - 0
56,7,01/10/2023 15:00,Stade Océane,Le Havre,Lille,0 - 2
59,7,01/10/2023 15:00,Stade de Nice,Nice,Brest,0 - 0
63,7,01/10/2023 15:00,Stadium de Toulouse,Toulouse,Metz,3 - 0
57,7,01/10/2023 17:05,Stade du Moustoir,Lorient,Montpellier,0 - 3
61,7,01/10/2023 20:45,Roazhon Park,Rennes,Nantes,3 - 1
71,8,06/10/2023 21:00,Stade de la Meinau,Strasbourg,Nantes,1 - 2
68,8,07/10/2023 17:00,Stade Saint-Symphorien,Metz,Nice,0 - 1
70,8,07/10/2023 21:00,Stade Auguste Delaune,Reims,Monaco,1 - 3
67,8,08/10/2023 13:00,Stade Vélodrome,Marseille,Le Havre,3 - 0
64,8,08/10/2023 15:00,Stade Francis-Le Blé,Brest,Toulouse,1 - 1
66,8,08/10/2023 15:00,Parc Olympique Lyonnais,Lyon,Lorient,3 - 3
65,8,08/10/2023 17:05,Stade Bollaert-Delelis,Lens,Lille,1 - 1
72,8,08/10/2023 20:45,Roazhon Park,Rennes,Paris Saint Germain,1 - 3
69,8,29/11/2023 19:00,Stade de la Mosson,Montpellier,Clermont Foot,
73,9,20/10/2023 21:00,Stade Océane,Le Havre,Lens,0 - 0
80,9,21/10/2023 17:00,Parc des Princes,Paris Saint Germain,Strasbourg,3 - 0
79,9,21/10/2023 21:00,Stade de Nice,Nice,Marseille,1 - 0
75,9,22/10/2023 13:00,Stade du Moustoir,Lorient,Rennes,2 - 1
74,9,22/10/2023 15:00,Stade Pierre-Mauroy,Lille,Brest,1 - 0
78,9,22/10/2023 15:00,Stade de la Beaujoire,Nantes,Montpellier,2 - 0
81,9,22/10/2023 15:00,Stadium de Toulouse,Toulouse,Reims,1 - 1
77,9,22/10/2023 17:05,Stade Louis II,Monaco,Metz,2 - 1
76,9,22/10/2023 20:45,Parc Olympique Lyonnais,Lyon,Clermont Foot,1 - 2
83,10,27/10/2023 21:00,Stade Gabriel Montpied,Clermont Foot,Nice,0 - 1
88,10,28/10/2023 17:00,Stade Auguste Delaune,Reims,Lorient,1 - 0
84,10,28/10/2023 21:00,Stade Bollaert-Delelis,Lens,Nantes,4 - 0
82,10,29/10/2023 13:00,Stade Francis-Le Blé,Brest,Paris Saint Germain,2 - 3
85,10,29/10/2023 15:00,Stade Pierre-Mauroy,Lille,Monaco,2 - 0
86,10,29/10/2023 15:00,Stade Saint-Symphorien,Metz,Le Havre,0 - 0
87,10,29/10/2023 15:00,Stade de la Mosson,Montpellier,Toulouse,3 - 0
89,10,29/10/2023 17:05,Roazhon Park,Rennes,Strasbourg,1 - 1
90,10,06/12/2023 21:00,Stade Vélodrome,Marseille,Lyon,
97,11,03/11/2023 21:00,Parc des Princes,Paris Saint Germain,Montpellier,3 - 0
91,11,04/11/2023 17:00,Stade du Moustoir,Lorient,Lens,0 - 0
93,11,04/11/2023 21:00,Stade Vélodrome,Marseille,Lille,0 - 0
92,11,05/11/2023 13:00,Parc Olympique Lyonnais,Lyon,Metz,1 - 1
95,11,05/11/2023 15:00,Stade de la Beaujoire,Nantes,Reims,0 - 1
98,11,05/11/2023 15:00,Stade de la Meinau,Strasbourg,Clermont Foot,0 - 0
99,11,05/11/2023 15:00,Stadium de Toulouse,Toulouse,Le Havre,1 - 2
94,11,05/11/2023 17:05,Stade Louis II,Monaco,Brest,2 - 0
96,11,05/11/2023 20:45,Stade de Nice,Nice,Rennes,2 - 0
105,12,10/11/2023 21:00,Stade de la Mosson,Montpellier,Nice,0 - 0
106,12,11/11/2023 17:00,Stade Auguste Delaune,Reims,Paris Saint Germain,0 - 3
102,12,11/11/2023 21:00,Stade Océane,Le Havre,Monaco,0 - 0
100,12,12/11/2023 13:00,Stade Francis-Le Blé,Brest,Strasbourg,
101,12,12/11/2023 15:00,Stade Gabriel Montpied,Clermont Foot,Lorient,
103,12,12/11/2023 15:00,Stade Pierre-Mauroy,Lille,Toulouse,
104,12,12/11/2023 15:00,Stade Saint-Symphorien,Metz,Nantes,
107,12,12/11/2023 17:05,Roazhon Park,Rennes,Lyon,
108,12,12/11/2023 20:45,Stade Bollaert-Delelis,Lens,Marseille,
115,13,24/11/2023 21:00,Parc des Princes,Paris Saint Germain,Monaco,
109,13,25/11/2023 17:00,Stade Gabriel Montpied,Clermont Foot,Lens,
117,13,25/11/2023 21:00,Stade de la Meinau,Strasbourg,Marseille,
114,13,26/11/2023 13:00,Stade de Nice,Nice,Toulouse,
110,13,26/11/2023 15:00,Stade du Moustoir,Lorient,Metz,
112,13,26/11/2023 15:00,Stade de la Mosson,Montpellier,Brest,
113,13,26/11/2023 15:00,Stade de la Beaujoire,Nantes,Le Havre,
116,13,26/11/2023 17:05,Roazhon Park,Rennes,Reims,
111,13,26/11/2023 20:45,Parc Olympique Lyonnais,Lyon,Lille,
125,14,01/12/2023 21:00,Stade Auguste Delaune,Reims,Strasbourg,
120,14,02/12/2023 17:00,Stade Bollaert-Delelis,Lens,Lyon,
124,14,02/12/2023 21:00,Stade de la Beaujoire,Nantes,Nice,
119,14,03/12/2023 13:00,Stade Océane,Le Havre,Paris Saint Germain,
118,14,03/12/2023 15:00,Stade Francis-Le Blé,Brest,Clermont Foot,
123,14,03/12/2023 15:00,Stade Louis II,Monaco,Montpellier,
126,14,03/12/2023 15:00,Stadium de Toulouse,Toulouse,Lorient,
121,14,03/12/2023 17:05,Stade Pierre-Mauroy,Lille,Metz,
122,14,03/12/2023 20:45,Stade Vélodrome,Marseille,Rennes,
127,15,10/12/2023 15:00,Stade Gabriel Montpied,Clermont Foot,Lille,
128,15,10/12/2023 15:00,Stade du Moustoir,Lorient,Marseille,
129,15,10/12/2023 15:00,Parc Olympique Lyonnais,Lyon,Toulouse,
130,15,10/12/2023 15:00,Stade Saint-Symphorien,Metz,Brest,
131,15,10/12/2023 15:00,Stade de la Mosson,Montpellier,Lens,
132,15,10/12/2023 15:00,Stade de Nice,Nice,Reims,
133,15,10/12/2023 15:00,Parc des Princes,Paris Saint Germain,Nantes,
134,15,10/12/2023 15:00,Roazhon Park,Rennes,Monaco,
135,15,10/12/2023 15:00,Stade de la Meinau,Strasbourg,Le Havre,
136,16,17/12/2023 15:00,Stade Océane,Le Havre,Nice,
137,16,17/12/2023 15:00,Stade Bollaert-Delelis,Lens,Reims,
138,16,17/12/2023 15:00,Stade du Moustoir,Lorient,Strasbourg,
139,16,17/12/2023 15:00,Stade Vélodrome,Marseille,Clermont Foot,
140,16,17/12/2023 15:00,Stade Saint-Symphorien,Metz,Montpellier,
141,16,17/12/2023 15:00,Stade Louis II,Monaco,Lyon,
142,16,17/12/2023 15:00,Stade de la Beaujoire,Nantes,Brest,
143,16,17/12/2023 15:00,Stadium de Toulouse,Toulouse,Rennes,
