Date,HomeTeam,AwayTeam,HomeWinOdds,DrawOdds,AwayWinOdds,Line,OverLineOdds,UnderLineOdds,Yes,No
24/11/2023,Paris Saint Germain,Monaco,1.5,4.8,5.7,3.5,1.93,1.88,1.47,2.55
25/11/2023,Clermont Foot,Lens,3.55,3.4,2.1,2.5,2.02,1.8,1.8,1.93
25/11/2023,Strasbourg,Marseille,3.9,3.65,1.93,2.5,1.93,1.88,1.78,1.95
26/11/2023,Lorient,Metz,1.98,3.45,3.95,2.5,2.07,1.75,1.87,1.87
26/11/2023,Montpellier,Brest,2.3,3.4,3.1,2.5,1.95,1.87,1.72,2.05
26/11/2023,Nantes,Le Havre,2.07,3.35,3.7,2.5,2.18,1.7,1.93,1.82
26/11/2023,Rennes,Reims,1.88,3.75,4.0,2.5,1.8,2.02,1.7,2.07
01/12/2023,Reims,Strasbourg,1.88,3.6,4.15,2.5,2.05,1.78,1.9,1.83
02/12/2023,Lens,Lyon,1.88,3.6,4.2,2.5,2.12,1.72,1.95,1.8
03/12/2023,Le Havre,Paris Saint Germain,9.0,5.2,1.34,2.5,1.57,2.4,1.88,1.85
03/12/2023,Brest,Clermont Foot,1.88,3.6,4.2,2.5,2.25,1.65,2.05,1.72
03/12/2023,Monaco,Montpellier,1.62,4.1,5.2,2.5,1.6,2.35,1.62,2.22
03/12/2023,Toulouse,Lorient,2.25,3.35,3.25,2.5,2.02,1.8,1.78,1.98
03/12/2023,Marseille,Rennes,2.02,3.6,3.6,2.5,2.02,1.8,1.85,1.9
