,Date,HomeTeam,AwayTeam,HomeWinOdds,DrawOdds,AwayWinOdds,Line,OverLineOdds,UnderLineOdds,Yes,No,HM,HW/M,HD/M,HL/M,HG/M,HGA/M,HPTS/M,HxG/M,HNPxG/M,HxGA/M,HNPxGA/M,HNPxGD/M,HPPDA,HOPPDA,HDC/M,HODC/M,HxPTS/M,AM,AW/M,AD/M,AL/M,AG/M,AGA/M,APTS/M,AxG/M,ANPxG/M,AxGA/M,ANPxGA/M,ANPxGD/M,APPDA,AOPPDA,ADC/M,AODC/M,AxPTS/M,Match_id
0,24/11/2023,Paris Saint Germain,Monaco,1.5,4.8,5.7,3.5,1.93,1.88,1.47,2.55,11,0.7272727272727273,0.18181818181818182,0.09090909090909091,2.6363636363636362,0.8181818181818182,2.3636363636363638,2.42,2.131818181818182,1.1954545454545455,1.0572727272727274,1.0745454545454545,6.49,17.03,11.727272727272727,5.0,2.182727272727273,11,0.5454545454545454,0.2727272727272727,0.18181818181818182,1.9090909090909092,1.0909090909090908,1.9090909090909092,1.7345454545454544,1.5963636363636362,0.9081818181818182,0.7009090909090909,0.8954545454545454,7.45,12.77,10.181818181818182,4.7272727272727275,1.8881818181818182,935443ae-3426-5d7e-bc76-f0bdb9ece82c
1,25/11/2023,Clermont Foot,Lens,3.55,3.4,2.1,2.5,2.02,1.8,1.8,1.93,10,0.2,0.3,0.5,0.6,1.0,0.9,0.953,0.725,1.476,1.4,-0.675,9.44,12.62,5.0,6.0,1.0630000000000002,11,0.36363636363636365,0.36363636363636365,0.2727272727272727,1.0,0.9090909090909091,1.4545454545454546,1.7699999999999998,1.6318181818181818,1.089090909090909,1.02,0.6118181818181818,9.88,11.22,9.363636363636363,5.2727272727272725,1.7554545454545454,0e675475-a6cf-5767-bc7f-1a30fc0604aa
2,25/11/2023,Strasbourg,Marseille,3.9,3.65,1.93,2.5,1.93,1.88,1.78,1.95,10,0.2,0.3,0.5,0.7,1.4,0.9,1.034,1.034,1.443,1.366,-0.33199999999999996,15.32,8.16,3.4,6.4,1.0710000000000002,10,0.2,0.4,0.4,1.0,1.2,1.0,1.591,1.591,0.962,0.962,0.629,13.23,11.06,7.8,5.7,1.722,3572f606-f3ec-5259-a659-d7028cc35256
3,26/11/2023,Lorient,Metz,1.98,3.45,3.95,2.5,2.07,1.75,1.87,1.87,11,0.18181818181818182,0.36363636363636365,0.45454545454545453,1.3636363636363635,1.9090909090909092,0.9090909090909091,0.8563636363636363,0.8563636363636363,1.6209090909090909,1.3445454545454545,-0.4881818181818182,17.42,9.27,5.090909090909091,9.272727272727273,0.8,11,0.2727272727272727,0.36363636363636365,0.36363636363636365,1.0,1.1818181818181819,1.1818181818181819,0.6936363636363636,0.6936363636363636,1.389090909090909,1.389090909090909,-0.6954545454545454,17.6,6.74,2.727272727272727,8.636363636363637,0.8454545454545456,fae814cf-fea9-5442-b024-ecf8a08ba7d4
4,26/11/2023,Montpellier,Brest,2.3,3.4,3.1,2.5,1.95,1.87,1.72,2.05,10,0.3,0.3,0.4,1.3,1.2,1.2,1.434,1.358,1.232,1.1560000000000001,0.202,15.14,8.93,4.5,8.4,1.45,10,0.3,0.3,0.4,0.8,1.1,1.2,1.383,1.383,1.4529999999999998,1.364,0.02,8.46,8.62,5.8,6.3,1.3279999999999998,fad2011a-3aac-5ee0-9edd-8da9a5b5c956
5,26/11/2023,Nantes,Le Havre,2.07,3.35,3.7,2.5,2.18,1.7,1.93,1.82,11,0.36363636363636365,0.18181818181818182,0.45454545454545453,1.4545454545454546,1.9090909090909092,1.2727272727272727,1.419090909090909,1.280909090909091,2.2372727272727273,1.8918181818181816,-0.6109090909090908,13.78,14.9,6.2727272727272725,8.909090909090908,1.0727272727272728,11,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.9090909090909091,1.0,1.2727272727272727,1.0463636363636364,0.9772727272727273,1.6763636363636365,1.6072727272727272,-0.63,14.18,10.4,4.454545454545454,8.818181818181818,1.0645454545454547,5924e610-ceb2-5f70-b030-5e72db8f2d36
6,26/11/2023,Rennes,Reims,1.88,3.75,4.0,2.5,1.8,2.02,1.7,2.07,11,0.09090909090909091,0.5454545454545454,0.36363636363636365,1.0,1.3636363636363635,0.8181818181818182,1.2372727272727273,1.03,1.4863636363636366,1.4863636363636366,-0.4563636363636363,11.63,12.52,7.454545454545454,6.181818181818182,1.1581818181818182,11,0.5454545454545454,0.18181818181818182,0.2727272727272727,1.4545454545454546,1.1818181818181819,1.8181818181818181,1.5945454545454545,1.4563636363636363,1.2345454545454546,1.2345454545454546,0.2218181818181818,9.31,11.54,6.090909090909091,6.363636363636363,1.6590909090909092,57e1d3cf-839f-5928-9eef-2e3f1f3e043b
7,01/12/2023,Reims,Strasbourg,1.88,3.6,4.15,2.5,2.05,1.78,1.9,1.83,11,0.5454545454545454,0.18181818181818182,0.2727272727272727,1.4545454545454546,1.1818181818181819,1.8181818181818181,1.5945454545454545,1.4563636363636363,1.2345454545454546,1.2345454545454546,0.2218181818181818,9.31,11.54,6.090909090909091,6.363636363636363,1.6590909090909092,10,0.2,0.3,0.5,0.7,1.4,0.9,1.034,1.034,1.443,1.366,-0.33199999999999996,15.32,8.16,3.4,6.4,1.0710000000000002,bbc4f6da-6435-5e85-b9c4-19a5af57274c
8,02/12/2023,Lens,Lyon,1.88,3.6,4.2,2.5,2.12,1.72,1.95,1.8,11,0.36363636363636365,0.36363636363636365,0.2727272727272727,1.0,0.9090909090909091,1.4545454545454546,1.7699999999999998,1.6318181818181818,1.089090909090909,1.02,0.6118181818181818,9.88,11.22,9.363636363636363,5.2727272727272725,1.7554545454545454,10,0.1,0.4,0.5,0.8,1.7,0.7,1.286,1.134,1.8170000000000002,1.741,-0.607,8.72,11.93,8.3,5.4,1.125,8cddf8b3-468f-54a9-818b-f38feeff9b23
9,03/12/2023,Le Havre,Paris Saint Germain,9.0,5.2,1.34,2.5,1.57,2.4,1.88,1.85,11,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.9090909090909091,1.0,1.2727272727272727,1.0463636363636364,0.9772727272727273,1.6763636363636365,1.6072727272727272,-0.63,14.18,10.4,4.454545454545454,8.818181818181818,1.0645454545454547,11,0.7272727272727273,0.18181818181818182,0.09090909090909091,2.6363636363636362,0.8181818181818182,2.3636363636363638,2.42,2.131818181818182,1.1954545454545455,1.0572727272727274,1.0745454545454545,6.49,17.03,11.727272727272727,5.0,2.182727272727273,07fa003d-8dfa-57ea-a3f4-034d619b100d
10,03/12/2023,Brest,Clermont Foot,1.88,3.6,4.2,2.5,2.25,1.65,2.05,1.72,10,0.3,0.3,0.4,0.8,1.1,1.2,1.383,1.383,1.4529999999999998,1.364,0.02,8.46,8.62,5.8,6.3,1.3279999999999998,10,0.2,0.3,0.5,0.6,1.0,0.9,0.953,0.725,1.476,1.4,-0.675,9.44,12.62,5.0,6.0,1.0630000000000002,026193fb-64c6-53f9-943c-86ac32dca2e6
11,03/12/2023,Monaco,Montpellier,1.62,4.1,5.2,2.5,1.6,2.35,1.62,2.22,11,0.5454545454545454,0.2727272727272727,0.18181818181818182,1.9090909090909092,1.0909090909090908,1.9090909090909092,1.7345454545454544,1.5963636363636362,0.9081818181818182,0.7009090909090909,0.8954545454545454,7.45,12.77,10.181818181818182,4.7272727272727275,1.8881818181818182,10,0.3,0.3,0.4,1.3,1.2,1.2,1.434,1.358,1.232,1.1560000000000001,0.202,15.14,8.93,4.5,8.4,1.45,3bdc96ee-b0d6-5a06-a840-6523e80f75f0
