Date,HomeTeam,AwayTeam,HomeWinOdds,DrawOdds,AwayWinOdds,Line,OverLineOdds,UnderLineOdds,Yes,No,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
24/11/2023,Paris Saint Germain,Monaco,1.5,4.8,5.7,3.5,1.93,1.88,1.47,2.55,Paris Saint Germain,12,8,3,1,29,9,27,27.99,24.81,13.28,11.76,13.05,6.57,17.87,144,56,26.43,Monaco,12,7,3,2,25,14,24,22.49,20.97,11.97,9.69,11.28,7.63,12.56,123,57,23.14
25/11/2023,Clermont Foot,Lens,3.55,3.4,2.1,2.5,2.02,1.8,1.8,1.93,Clermont Foot,11,2,3,6,8,14,9,11.51,9.23,18.17,17.41,-8.18,9.54,12.1,55,71,11.09,Lens,12,4,4,4,13,13,16,20.43,18.91,14.9,12.62,6.29,9.93,10.86,109,62,19.54
25/11/2023,Strasbourg,Marseille,3.9,3.65,1.93,2.5,1.93,1.88,1.78,1.95,Strasbourg,11,3,3,5,9,15,12,11.51,11.51,16.48,15.72,-4.21,15.6,8.01,35,74,11.44,Marseille,11,3,4,4,12,13,13,17.43,17.43,10.61,10.61,6.81,13.34,10.43,88,60,19.02
26/11/2023,Lorient,Metz,1.98,3.45,3.95,2.5,2.07,1.75,1.87,1.87,Lorient,12,2,5,5,15,21,11,9.56,9.56,19.19,16.15,-6.6,18.62,9.16,57,117,9.14,Metz,12,3,4,5,12,18,13,8.19,8.19,19.96,19.96,-11.77,17.81,6.81,32,110,9.31
26/11/2023,Montpellier,Brest,2.3,3.4,3.1,2.5,1.95,1.87,1.72,2.05,Montpellier,11,3,4,4,15,14,13,15.63,14.87,13.56,12.8,2.07,14.63,9.61,53,87,15.87,Brest,11,4,3,4,11,13,15,16.75,15.23,15.49,14.6,0.64,8.39,8.77,62,69,15.94
26/11/2023,Nantes,Le Havre,2.07,3.35,3.7,2.5,2.18,1.7,1.93,1.82,Nantes,12,4,2,6,17,23,14,16.68,14.4,26.67,22.87,-8.47,14.47,14.69,71,104,12.42,Le Havre,12,3,6,3,12,13,15,12.76,12.0,19.74,18.98,-6.97,14.58,10.3,52,105,12.99
26/11/2023,Rennes,Reims,1.88,3.75,4.0,2.5,1.8,2.02,1.7,2.07,Rennes,12,2,6,4,16,16,12,18.29,16.01,16.91,16.91,-0.9,11.31,13.07,97,70,15.71,Reims,12,6,2,4,17,15,20,18.54,17.02,15.1,15.1,1.92,8.97,11.75,70,80,19.17
01/12/2023,Reims,Strasbourg,1.88,3.6,4.15,2.5,2.05,1.78,1.9,1.83,Reims,12,6,2,4,17,15,20,18.54,17.02,15.1,15.1,1.92,8.97,11.75,70,80,19.17,Strasbourg,11,3,3,5,9,15,12,11.51,11.51,16.48,15.72,-4.21,15.6,8.01,35,74,11.44
02/12/2023,Lens,Lyon,1.88,3.6,4.2,2.5,2.12,1.72,1.95,1.8,Lens,12,4,4,4,13,13,16,20.43,18.91,14.9,12.62,6.29,9.93,10.86,109,62,19.54,Lyon,11,1,4,6,9,19,7,14.91,13.39,19.33,18.57,-5.18,8.54,12.5,93,55,13.28
03/12/2023,Le Havre,Paris Saint Germain,9.0,5.2,1.34,2.5,1.57,2.4,1.88,1.85,Le Havre,12,3,6,3,12,13,15,12.76,12.0,19.74,18.98,-6.97,14.58,10.3,52,105,12.99,Paris Saint Germain,12,8,3,1,29,9,27,27.99,24.81,13.28,11.76,13.05,6.57,17.87,144,56,26.43
03/12/2023,Brest,Clermont Foot,1.88,3.6,4.2,2.5,2.25,1.65,2.05,1.72,Brest,11,4,3,4,11,13,15,16.75,15.23,15.49,14.6,0.64,8.39,8.77,62,69,15.94,Clermont Foot,11,2,3,6,8,14,9,11.51,9.23,18.17,17.41,-8.18,9.54,12.1,55,71,11.09
03/12/2023,Monaco,Montpellier,1.62,4.1,5.2,2.5,1.6,2.35,1.62,2.22,Monaco,12,7,3,2,25,14,24,22.49,20.97,11.97,9.69,11.28,7.63,12.56,123,57,23.14,Montpellier,11,3,4,4,15,14,13,15.63,14.87,13.56,12.8,2.07,14.63,9.61,53,87,15.87
03/12/2023,Toulouse,Lorient,2.25,3.35,3.25,2.5,2.02,1.8,1.78,1.98,Toulouse,12,2,6,4,13,16,12,13.79,12.27,21.95,19.67,-7.39,10.98,11.07,72,80,12.26,Lorient,12,2,5,5,15,21,11,9.56,9.56,19.19,16.15,-6.6,18.62,9.16,57,117,9.14
03/12/2023,Marseille,Rennes,2.02,3.6,3.6,2.5,2.02,1.8,1.85,1.9,Marseille,11,3,4,4,12,13,13,17.43,17.43,10.61,10.61,6.81,13.34,10.43,88,60,19.02,Rennes,12,2,6,4,16,16,12,18.29,16.01,16.91,16.91,-0.9,11.31,13.07,97,70,15.71
