Date,HomeTeam,AwayTeam,Result,HomeWinOdds,DrawOdds,AwayWinOdds,OverOdds,UnderOdds,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
18/08/2018,Chievo,Juventus,2-3,13.0,5.75,1.25,1.7,2.13,Chievo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/08/2018,Lazio,Napoli,1-2,2.8,3.4,2.5,1.68,2.17,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2018,Bologna,SPAL 2013,0-1,2.25,3.2,3.4,2.34,1.58,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPAL 2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2018,Empoli,Cagliari,2-0,2.14,3.2,3.6,2.11,1.71,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2018,Parma Calcio 1913,Udinese,2-2,2.45,3.3,2.9,2.21,1.65,Parma Calcio 1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2018,Sassuolo,Inter,1-0,5.5,4.0,1.61,1.83,1.96,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/2018,Torino,Roma,0-1,3.5,3.5,2.1,1.72,2.09,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/08/2018,Atalanta,Frosinone,4-0,1.36,4.5,11.0,1.81,1.98,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frosinone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/08/2018,Juventus,Lazio,2-0,1.36,5.0,8.5,1.63,2.25,Juventus,1,1,0,0,3,2,3,2.26,2.26,1.05,0.29,1.97,6.81,22.05,9,1,2.27,Lazio,1,0,0,1,1,2,0,1.08,1.08,1.52,1.52,-0.44,25.56,14.5,6,8,0.96
25/08/2018,Napoli,AC Milan,3-2,1.61,4.0,5.5,1.75,2.06,Napoli,1,1,0,0,2,1,3,1.52,1.52,1.08,1.08,0.44,14.5,25.56,8,6,1.75,AC Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
