Date,HomeTeam,AwayTeam,HomeWinOdds,DrawOdds,AwayWinOdds,Line,OverLineOdds,UnderLineOdds,Yes,No
25/11/2023,Salernitana,Lazio,4.45,3.65,1.82,2.5,1.95,1.85,1.83,1.91
25/11/2023,Atalanta,Napoli,2.65,3.45,2.62,2.5,1.78,2.05,1.6,2.25
25/11/2023,AC Milan,Fiorentina,1.95,3.5,3.95,2.5,1.95,1.85,1.78,1.95
26/11/2023,Cagliari,Monza,2.92,3.3,2.47,2.5,1.93,1.88,1.7,2.07
26/11/2023,Empoli,Sassuolo,2.65,3.5,2.57,2.5,1.65,2.25,1.52,2.42
26/11/2023,Frosinone,Genoa,2.47,3.3,2.92,2.5,1.95,1.85,1.72,2.05
26/11/2023,Roma,Udinese,1.65,3.85,5.4,2.5,2.07,1.75,2.05,1.72
26/11/2023,Juventus,Inter,3.35,3.3,2.22,2.5,2.1,1.75,1.82,1.93
27/11/2023,Verona,Lecce,2.77,3.0,2.82,1.5,1.52,2.55,2.05,1.72
27/11/2023,Bologna,Torino,2.3,3.2,3.3,2.5,2.35,1.6,1.98,1.78
01/12/2023,Monza,Juventus,4.1,3.3,1.98,2.5,2.07,1.75,1.85,1.9
02/12/2023,Genoa,Empoli,1.8,3.6,4.55,2.5,2.12,1.72,1.95,1.78
02/12/2023,Lazio,Cagliari,1.57,3.95,6.4,2.5,1.93,1.88,1.95,1.8
02/12/2023,AC Milan,Frosinone,1.33,5.2,9.25,2.5,1.72,2.12,2.15,1.65
03/12/2023,Lecce,Bologna,2.7,3.3,2.65,2.5,2.15,1.72,1.85,1.9
03/12/2023,Fiorentina,Salernitana,1.5,4.4,6.4,2.5,1.78,2.05,1.91,1.82
03/12/2023,Udinese,Verona,1.87,3.35,4.7,2.5,2.25,1.65,2.02,1.75
03/12/2023,Sassuolo,Roma,3.2,3.45,2.25,2.5,1.83,1.98,1.65,2.15
03/12/2023,Napoli,Inter,2.65,3.4,2.65,2.5,1.83,1.98,1.62,2.2
04/12/2023,Torino,Atalanta,3.25,3.4,2.22,2.5,2.12,1.72,1.85,1.88
