Date,HomeTeam,AwayTeam,HomeWinOdds,DrawOdds,AwayWinOdds,Line,OverLineOdds,UnderLineOdds,Yes,No,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
25/11/2023,Salernitana,Lazio,4.45,3.65,1.82,2.5,1.95,1.85,1.83,1.91,Salernitana,12,0,5,7,8,24,5,8.98,8.22,21.56,19.27,-11.05,11.98,7.61,54,84,8.37,Lazio,12,5,2,5,13,13,17,15.02,13.5,13.61,13.61,-0.11,13.76,14.92,83,66,17.41
25/11/2023,Atalanta,Napoli,2.65,3.45,2.62,2.5,1.78,2.05,1.6,2.25,Atalanta,12,6,2,4,20,11,20,17.68,17.68,10.07,8.55,9.13,11.25,14.43,80,48,22.19,Napoli,12,6,3,3,24,13,21,23.82,19.25,10.74,9.98,9.27,8.71,17.37,131,45,24.29
25/11/2023,AC Milan,Fiorentina,1.95,3.5,3.95,2.5,1.95,1.85,1.78,1.95,AC Milan,12,7,2,3,20,14,23,19.76,17.47,14.89,13.36,4.11,11.48,15.54,82,66,20.01,Fiorentina,12,6,2,4,20,16,20,12.86,12.1,20.43,17.38,-5.28,10.26,12.43,96,54,13.74
02/12/2023,AC Milan,Frosinone,1.33,5.2,9.25,2.5,1.72,2.12,2.15,1.65,AC Milan,12,7,2,3,20,14,23,19.76,17.47,14.89,13.36,4.11,11.48,15.54,82,66,20.01,Frosinone,12,4,3,5,17,20,15,15.81,13.52,21.25,19.73,-6.2,11.77,12.39,63,106,13.8
26/11/2023,Cagliari,Monza,2.92,3.3,2.47,2.5,1.93,1.88,1.7,2.07,Cagliari,12,2,3,7,12,24,9,15.24,13.72,20.94,19.41,-5.7,17.54,11.56,61,80,12.37,Monza,12,4,5,3,13,11,17,18.1,17.34,16.59,15.06,2.28,13.2,15.1,76,95,17.2
26/11/2023,Empoli,Sassuolo,2.65,3.5,2.57,2.5,1.65,2.25,1.52,2.42,Empoli,12,3,1,8,5,21,10,11.45,11.45,19.74,18.22,-6.77,12.36,9.17,58,102,12.24,Sassuolo,12,3,3,6,16,21,12,15.24,13.71,22.47,20.18,-6.47,15.79,10.15,74,86,13.48
26/11/2023,Frosinone,Genoa,2.47,3.3,2.92,2.5,1.95,1.85,1.72,2.05,Frosinone,12,4,3,5,17,20,15,15.81,13.52,21.25,19.73,-6.2,11.77,12.39,63,106,13.8,Genoa,12,4,2,6,13,16,14,10.4,10.4,12.52,12.52,-2.12,16.63,9.57,42,69,13.76
26/11/2023,Roma,Udinese,1.65,3.85,5.4,2.5,2.07,1.75,2.05,1.72,Roma,12,5,3,4,22,14,18,19.38,17.86,12.6,11.08,6.78,11.01,15.41,88,50,20.7,Udinese,12,1,8,3,8,15,11,17.62,15.34,15.94,14.42,0.93,12.67,8.67,39,65,18.71
26/11/2023,Juventus,Inter,3.35,3.3,2.22,2.5,2.1,1.75,1.82,1.93,Juventus,12,9,2,1,19,7,29,23.49,21.96,9.0,9.0,12.97,13.45,12.97,83,68,25.85,Inter,12,10,1,1,29,6,31,27.21,22.64,8.46,7.7,14.94,12.12,16.54,114,55,27.21
03/12/2023,Napoli,Inter,2.65,3.4,2.65,2.5,1.83,1.98,1.62,2.2,Napoli,12,6,3,3,24,13,21,23.82,19.25,10.74,9.98,9.27,8.71,17.37,131,45,24.29,Inter,12,10,1,1,29,6,31,27.21,22.64,8.46,7.7,14.94,12.12,16.54,114,55,27.21
27/11/2023,Verona,Lecce,2.77,3.0,2.82,1.5,1.52,2.55,2.05,1.72,Verona,12,2,2,8,7,16,8,7.07,7.07,20.94,20.18,-13.1,13.6,10.6,45,85,7.26,Lecce,12,3,5,4,13,16,14,12.65,11.13,23.42,20.37,-9.24,10.48,8.81,46,87,9.32
27/11/2023,Bologna,Torino,2.3,3.2,3.3,2.5,2.35,1.6,1.98,1.78,Bologna,12,4,6,2,13,10,18,16.62,14.33,11.97,9.68,4.65,11.69,14.31,60,70,19.35,Torino,12,4,4,4,10,14,16,12.33,12.33,13.63,11.34,0.99,12.06,14.47,58,52,15.92
01/12/2023,Monza,Juventus,4.1,3.3,1.98,2.5,2.07,1.75,1.85,1.9,Monza,12,4,5,3,13,11,17,18.1,17.34,16.59,15.06,2.28,13.2,15.1,76,95,17.2,Juventus,12,9,2,1,19,7,29,23.49,21.96,9.0,9.0,12.97,13.45,12.97,83,68,25.85
02/12/2023,Genoa,Empoli,1.8,3.6,4.55,2.5,2.12,1.72,1.95,1.78,Genoa,12,4,2,6,13,16,14,10.4,10.4,12.52,12.52,-2.12,16.63,9.57,42,69,13.76,Empoli,12,3,1,8,5,21,10,11.45,11.45,19.74,18.22,-6.77,12.36,9.17,58,102,12.24
02/12/2023,Lazio,Cagliari,1.57,3.95,6.4,2.5,1.93,1.88,1.95,1.8,Lazio,12,5,2,5,13,13,17,15.02,13.5,13.61,13.61,-0.11,13.76,14.92,83,66,17.41,Cagliari,12,2,3,7,12,24,9,15.24,13.72,20.94,19.41,-5.7,17.54,11.56,61,80,12.37
03/12/2023,Lecce,Bologna,2.7,3.3,2.65,2.5,2.15,1.72,1.85,1.9,Lecce,12,3,5,4,13,16,14,12.65,11.13,23.42,20.37,-9.24,10.48,8.81,46,87,9.32,Bologna,12,4,6,2,13,10,18,16.62,14.33,11.97,9.68,4.65,11.69,14.31,60,70,19.35
03/12/2023,Fiorentina,Salernitana,1.5,4.4,6.4,2.5,1.78,2.05,1.91,1.82,Fiorentina,12,6,2,4,20,16,20,12.86,12.1,20.43,17.38,-5.28,10.26,12.43,96,54,13.74,Salernitana,12,0,5,7,8,24,5,8.98,8.22,21.56,19.27,-11.05,11.98,7.61,54,84,8.37
03/12/2023,Udinese,Verona,1.87,3.35,4.7,2.5,2.25,1.65,2.02,1.75,Udinese,12,1,8,3,8,15,11,17.62,15.34,15.94,14.42,0.93,12.67,8.67,39,65,18.71,Verona,12,2,2,8,7,16,8,7.07,7.07,20.94,20.18,-13.1,13.6,10.6,45,85,7.26
03/12/2023,Sassuolo,Roma,3.2,3.45,2.25,2.5,1.83,1.98,1.65,2.15,Sassuolo,12,3,3,6,16,21,12,15.24,13.71,22.47,20.18,-6.47,15.79,10.15,74,86,13.48,Roma,12,5,3,4,22,14,18,19.38,17.86,12.6,11.08,6.78,11.01,15.41,88,50,20.7
